Stock,Day,Month,Year,Open,High,Low,Close
AMZN,13,Nov,2020,3122.000000,3141.719971,3085.389893,3128.810059
AMZN,16,Nov,2020,3093.199951,3142.699951,3072.689941,3131.060059
AMZN,17,Nov,2020,3183.540039,3189.250000,3135.260010,3135.659912
AMZN,18,Nov,2020,3134.000000,3140.000000,3105.100098,3105.459961
AMZN,19,Nov,2020,3105.310059,3125.000000,3080.919922,3117.020020
AMZN,20,Nov,2020,3117.020020,3132.889893,3098.050049,3099.399902
AMZN,23,Nov,2020,3116.699951,3139.750000,3065.459961,3098.389893
AMZN,24,Nov,2020,3100.500000,3134.250000,3086.260010,3118.060059
AMZN,25,Nov,2020,3141.870117,3198.000000,3140.260010,3185.070068
AMZN,27,Nov,2020,3211.260010,3216.189941,3190.050049,3195.340088
AMZN,30,Nov,2020,3208.479980,3228.389893,3125.550049,3168.040039
—,—,—,—,—,—,—,—
AMZN,01,Dec,2020,,,,
AMZN,02,Dec,2020,3221.649902,3232.000000,3173.260010,3203.530029
AMZN,03,Dec,2020,3205.459961,3228.639893,3181.310059,3186.729980
AMZN,04,Dec,2020,3198.209961,3198.209961,3158.760010,3162.580078
AMZN,07,Dec,2020,3156.479980,3180.760010,3141.689941,3158.000000
AMZN,08,Dec,2020,3158.899902,3184.129883,3120.020020,3177.290039
AMZN,09,Dec,2020,3167.889893,3174.429932,3088.000000,3104.199951
AMZN,10,Dec,2020,3088.989990,3142.100098,3076.000000,3101.489990
AMZN,11,Dec,2020,3096.659912,3118.669922,3072.820068,3116.419922
AMZN,14,Dec,2020,3143.000000,3190.469971,3126.000000,3156.969971
AMZN,15,Dec,2020,3181.010010,3188.500000,3130.489990,3165.120117
AMZN,16,Dec,2020,3176.010010,3247.000000,3163.679932,3240.959961
AMZN,17,Dec,2020,3250.000000,3263.510010,3221.000000,3236.080078
AMZN,18,Dec,2020,3243.989990,3249.419922,3171.600098,3201.649902
AMZN,21,Dec,2020,,,,
AMZN,22,Dec,2020,3202.840088,3222.000000,3180.080078,3206.520020
AMZN,23,Dec,2020,3205.000000,3210.129883,3184.169922,3185.270020
